epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.5525,1.0517,3.45196,1.19776,0.00715,0.79791,0.24823,0.16448,0.88843,3.40587,1.19047,5.716e-05,5.716e-05,5.716e-05
2,41.4297,0.88207,2.88695,1.14998,0.00814,0.88768,0.41729,0.29487,0.83455,3.25838,1.13638,0.000124366,0.000124366,0.000124366
3,60.3321,0.77788,1.79655,1.05388,0.00834,0.93398,0.63018,0.44699,0.84466,3.0278,1.10694,0.000186856,0.000186856,0.000186856
4,78.8247,0.73238,1.26334,1.04724,0.30415,0.91546,0.76495,0.53921,0.86975,2.90322,1.10657,0.000244631,0.000244631,0.000244631
5,97.2612,0.69767,1.13928,0.98597,0.95259,0.51023,0.77721,0.5845,0.77409,2.89249,1.06917,0.000297689,0.000297689,0.000297689
6,115.653,0.73075,1.16218,1.01343,0.0083,0.91948,0.79578,0.57891,0.80584,2.90616,1.0589,0.000346032,0.000346032,0.000346032
7,133.939,0.64507,1.03171,0.9718,0.00832,0.91948,0.80715,0.61102,0.78562,2.83423,1.03813,0.00038966,0.00038966,0.00038966
8,152.196,0.70712,1.07896,1.01882,1,0.35163,0.78766,0.59086,0.7708,2.87551,1.03735,0.000428571,0.000428571,0.000428571
9,170.455,0.6846,1.12323,1.00598,1,0.05683,0.80027,0.59037,0.8093,2.94618,1.04546,0.000462767,0.000462767,0.000462767
10,188.967,0.66685,1.01268,0.993,1,0.2378,0.83525,0.62867,0.82428,2.80434,1.0478,0.000492248,0.000492248,0.000492248
11,208.092,0.67337,1.02755,0.99619,1,0.25881,0.8169,0.61354,0.81517,2.81444,1.07409,0.000517012,0.000517012,0.000517012
12,226.71,0.62999,1.02507,0.96885,0.96957,0.32752,0.82684,0.64585,0.76709,2.71097,1.04103,0.000537061,0.000537061,0.000537061
13,245.777,0.64775,1.04006,0.97643,0.97043,0.32547,0.88818,0.69839,0.76511,2.65018,1.04877,0.000552394,0.000552394,0.000552394
14,264.151,0.67144,0.98017,0.99722,1,0.64011,0.91093,0.6952,0.91183,2.33381,1.10607,0.000563012,0.000563012,0.000563012
15,282.72,0.62227,0.98029,0.97205,0.9342,0.61645,0.88178,0.68951,0.87736,2.24596,1.18093,0.000568913,0.000568913,0.000568913
16,300.933,0.56689,0.93297,0.93903,0.99285,0.59473,0.87942,0.67853,0.86097,2.32598,1.18904,0.0005701,0.0005701,0.0005701
17,319.609,0.64401,0.96557,0.96433,0.96596,0.72072,0.87671,0.66466,0.9146,2.25147,1.24161,0.00056657,0.00056657,0.00056657
18,338.069,0.5873,0.89938,0.96817,0.94831,0.81397,0.89166,0.67486,0.89956,2.03346,1.2444,0.000558325,0.000558325,0.000558325
19,356.621,0.56843,0.90413,0.94368,0.93131,0.85108,0.90078,0.6843,0.82604,1.74658,1.19644,0.000545364,0.000545364,0.000545364
20,375.486,0.59469,0.89477,0.96563,0.99766,0.84635,0.93114,0.71651,0.88428,1.35426,1.26819,0.000527687,0.000527687,0.000527687
21,393.698,0.51737,1.0371,0.95624,0.9108,0.88245,0.92576,0.71835,0.88199,1.48696,1.23612,0.00048586,0.00048586,0.00048586
22,411.55,0.50702,0.9724,0.94075,0.93189,0.83464,0.92803,0.70305,0.86518,1.73491,1.17686,0.000438703,0.000438703,0.000438703
23,429.525,0.52708,1.08657,0.91618,0.95644,0.83991,0.91991,0.69778,0.81883,1.78452,1.13813,0.000391546,0.000391546,0.000391546
24,447.643,0.5079,1.04007,0.91826,0.87465,0.86791,0.91136,0.71321,0.79444,1.40203,1.16755,0.000344389,0.000344389,0.000344389
25,465.797,0.49309,0.99298,0.90883,0.982,0.84496,0.92786,0.71382,0.79144,1.21842,1.19943,0.000297232,0.000297232,0.000297232
26,484.063,0.4626,0.95545,0.91443,0.95883,0.83669,0.92165,0.71379,0.76062,1.16615,1.17902,0.000250075,0.000250075,0.000250075
27,502.42,0.4716,0.92244,0.9088,0.93278,0.83322,0.91571,0.71591,0.73194,1.1542,1.17036,0.000202918,0.000202918,0.000202918
28,520.789,0.43357,0.90604,0.89117,0.89981,0.85922,0.9285,0.73422,0.69484,1.11525,1.15457,0.000155761,0.000155761,0.000155761
29,539.426,0.47576,0.91691,0.90301,0.91775,0.87019,0.93837,0.73804,0.70214,1.111,1.15478,0.000108604,0.000108604,0.000108604
30,557.975,0.43412,0.91744,0.91694,0.91653,0.85501,0.92512,0.73332,0.68851,1.09433,1.14336,6.1447e-05,6.1447e-05,6.1447e-05
