zona,suprafata,numar_camere,etaj,an_constructie,balcon,parcare,pret,mobilat,tip_incalzire
Berceni,97.0,1,,2013,,nu,105000.0,da,Gaz
Drumul Taberei,,3,3.0,1989,nu,da,143000.0,nu,Termoficare
Titan,66.0,2,3.0,2005,nu,da,97000.0,nu,Gaz
Berceni,67.0,2,4.0,1978,da,da,108000.0,nu,
Militari,101.0,2,5.0,2007,nu,da,123000.0,da,Gaz
Pantelimon,52.0,4,4.0,2017,da,da,101000.0,da,Termoficare
Titan,59.0,1,6.0,1991,nu,da,75000.0,da,Gaz
Titan,88.0,1,1.0,2023,nu,nu,119000.0,nu,Gaz
Berceni,92.0,1,6.0,2022,da,da,118000.0,nu,Gaz
Pipera,101.0,4,,2022,nu,nu,198000.0,,Gaz
Militari,80.0,1,6.0,1971,da,da,112000.0,da,Termoficare
Berceni,58.0,4,,1993,da,da,89000.0,nu,Termoficare
Militari,66.0,2,6.0,1977,da,nu,88000.0,nu,Gaz
Militari,,3,4.0,1980,da,da,145000.0,nu,Termoficare
Pantelimon,57.0,1,2.0,1982,nu,nu,38000.0,da,Termoficare
Titan,100.0,1,2.0,1986,nu,nu,122000.0,da,Termoficare
Drumul Taberei,61.0,2,3.0,1977,da,da,100000.0,nu,Termoficare
Pantelimon,36.0,3,1.0,1990,nu,nu,46000.0,nu,Gaz
Pantelimon,51.0,4,1.0,1987,nu,nu,62000.0,,Gaz
Militari,,3,0.0,1999,da,da,115000.0,da,Termoficare
Vitan,43.0,2,4.0,1987,nu,nu,52000.0,nu,Termoficare
Titan,77.0,2,3.0,2015,da,da,140000.0,da,Gaz
Pipera,82.0,3,10.0,2016,da,da,207000.0,da,Gaz
Pantelimon,73.0,4,,2000,,da,94000.0,nu,Gaz
Drumul Taberei,76.0,4,1.0,2007,nu,da,154000.0,nu,
Vitan,60.0,1,2.0,2001,nu,nu,74000.0,nu,Termoficare
Vitan,84.0,4,,1980,da,da,138000.0,da,Termoficare
Pipera,59.0,3,6.0,2014,da,da,138000.0,da,Termoficare
Pantelimon,58.0,2,3.0,1994,nu,nu,52000.0,nu,
Drumul Taberei,47.0,1,4.0,2002,nu,da,66000.0,da,Gaz
Titan,94.0,1,4.0,2007,nu,da,121000.0,nu,Gaz
Floreasca,41.0,2,5.0,2010,nu,nu,99000.0,da,Gaz
Drumul Taberei,91.0,4,8.0,1977,,nu,144000.0,da,Gaz
,70.0,2,,1980,nu,nu,158000.0,nu,
Vitan,,4,4.0,1991,da,nu,101000.0,,Gaz
Titan,54.0,2,2.0,2020,da,nu,80000.0,,Gaz
Drumul Taberei,,3,3.0,1993,nu,nu,118000.0,da,Gaz
Floreasca,42.0,4,9.0,2010,nu,nu,87000.0,da,Termoficare
Floreasca,50.0,3,5.0,1986,,da,141000.0,nu,Termoficare
Militari,48.0,1,7.0,1981,da,nu,57000.0,nu,Termoficare
Militari,110.0,2,0.0,2015,nu,nu,128000.0,da,Gaz
Berceni,,1,,2001,nu,nu,13000.0,,Gaz
Pipera,100.0,1,7.0,1984,da,da,200000.0,,Termoficare
